,역번호,역명,경도,위도
0,150,서울,126.972533,37.55315
1,151,시청,126.975407,37.56359
2,152,종각,126.983116,37.570203
3,153,종로3가,126.992095,37.570429
4,154,종로5가,127.0019,37.570971
5,155,동대문,127.00789,37.565145
6,159,동묘앞,127.016459,37.573265
7,156,신설동,127.02471,37.576117
8,157,제기동,127.034902,37.578116
9,158,청량리,127.045063,37.580148
10,202,을지로입구,126.982569,37.565998
11,203,을지로3가,126.991773,37.566292
12,204,을지로4가,126.998122,37.566611
13,205,동대문역사문화공원,127.009083,37.565609
14,206,신당,127.019488,37.565681
15,207,상왕십리,127.028872,37.564504
16,208,왕십리,127.035505,37.561159
17,216,잠실,127.100129,37.513305
18,218,종합운동장,127.073641,37.511008
19,219,삼성,127.063203,37.508827
20,220,선릉,127.048174,37.504257
21,221,역삼,127.03643,37.500658
22,222,강남,127.027539,37.497958
23,223,교대,127.014631,37.493957
24,224,서초,127.007945,37.49191
25,225,방배,126.997627,37.481469
26,226,사당,126.981631,37.476536
27,227,낙성대,126.963783,37.47693
28,228,서울대입구,126.952745,37.481233
29,229,봉천,126.941896,37.482416
30,230,신림,126.929573,37.484216
31,234,신도림,126.891222,37.508815
32,235,문래,126.894766,37.517993
33,236,영등포구청,126.896627,37.525766
34,238,합정,126.914557,37.550025
35,239,홍대입구,126.923643,37.556748
36,240,신촌,126.93689,37.555153
37,241,이대,126.945897,37.556734
38,242,아현,126.956079,37.557407
39,243,충정로,126.964455,37.559742
40,250,용두,127.03811,37.574012
41,247,도림천,126.882586,37.514759
42,248,양천구청,126.865193,37.512194
43,249,신정네거리,126.852849,37.520218
44,234-4,까치산,126.846706,37.53181
45,310,구파발,126.918827,37.636612
46,311,연신내,126.920859,37.618855
47,312,불광,126.929843,37.610554
48,313,녹번,126.935758,37.600882
49,314,홍제,126.944092,37.588851
50,315,무악재,126.950131,37.582658
51,316,독립문,126.957902,37.574534
52,317,경복궁,126.973576,37.575844
53,318,안국,126.98547,37.576562
54,321,충무로,126.995473,37.561302
55,322,동대입구,127.005273,37.55816
56,323,약수,127.010628,37.554674
57,324,금호,127.015785,37.548269
58,326,압구정,127.028502,37.526169
59,327,신사,127.020247,37.516438
60,328,잠원,127.011613,37.512989
61,329,고속터미널,127.004916,37.504953
62,331,남부터미널,127.016289,37.48494
63,332,양재,127.03513,37.48466
64,333,매봉,127.046907,37.487114
65,334,도곡,127.055694,37.491129
66,335,대치,127.063449,37.494601
67,336,학여울,127.070541,37.496757
68,337,대청,127.079526,37.493607
69,338,일원,127.08416,37.48389
70,339,수서,127.101324,37.487507
71,340,가락시장,127.118101,37.492368
72,341,경찰병원,127.124198,37.495754
73,342,오금,127.128344,37.502288
74,413,쌍문,127.034381,37.648274
75,414,수유,127.024731,37.637127
76,415,미아,127.026151,37.626435
77,416,미아사거리,127.030083,37.613276
78,417,길음,127.025353,37.604087
79,418,성신여대입구,127.017338,37.592782
80,419,한성대입구,127.006751,37.58838
81,420,혜화,127.001759,37.582116
82,424,명동,126.988271,37.561055
83,425,회현,126.979565,37.559698
84,427,숙대입구,126.971952,37.545124
85,428,삼각지,126.973354,37.535057
86,429,신용산,126.96858,37.52919
87,430,이촌,126.97335,37.522525
88,432,총신대입구,126.982309,37.487521
89,434,남태령,126.989081,37.464339
90,2511,방화,126.812822,37.577669
91,2512,개화산,126.806838,37.572458
92,2513,김포공항,126.801273,37.56217
93,2514,송정,126.812052,37.561411
94,2515,마곡,126.82693,37.562182
95,2516,발산,126.82693,37.562182
96,2517,우장산,126.83633,37.548864
97,2518,화곡,126.840436,37.541585
98,2520,신정,126.856176,37.525001
99,2521,목동,126.864296,37.526088
100,2522,오목교,126.875049,37.524557
101,2523,양평,126.886177,37.525614
102,2525,영등포시장,126.905143,37.52276
103,2526,신길,126.914886,37.51763
104,2527,여의도,126.924318,37.521578
105,2528,여의나루,126.932807,37.527145
106,2529,마포,126.946043,37.539718
107,2530,공덕,126.951058,37.544005
108,2531,애오개,126.956733,37.553592
109,2533,서대문,126.966639,37.565812
110,2534,광화문,126.976568,37.570545
111,2538,청구,127.01379,37.560237
112,2539,신금호,127.020403,37.554504
113,2540,행당,127.029482,37.557297
114,2542,마장,127.042921,37.566066
115,2543,답십리,127.05266,37.566833
116,2544,장한평,127.064601,37.561438
117,2545,군자,127.079559,37.557102
118,2546,아차산,127.089609,37.552005
119,2547,광나루,127.103478,37.545301
120,2548,천호,127.123539,37.538566
121,2549,강동,127.13249,37.53581
122,2550,길동,127.140085,37.538022
123,2551,굽은다리,127.142844,37.545442
124,2552,명일,127.144002,37.551317
125,2553,고덕,127.154214,37.555002
126,2554,상일동,127.166381,37.556714
127,2555,둔촌동,127.136219,37.527787
128,2556,올림픽공원,127.130957,37.516217
129,2557,방이,127.126054,37.508752
130,2559,개롱,127.134817,37.498097
131,2560,거여,127.143983,37.493208
132,2561,마천,127.152784,37.494972
133,2611,응암,126.915583,37.59859
134,2612,역촌,126.922764,37.60605
135,2614,독바위,126.933035,37.618413
136,2617,구산,126.917246,37.611223
137,2618,새절,126.913613,37.591148
138,2619,증산,126.909785,37.583989
139,2620,디지털미디어시티,126.898643,37.577005
140,2621,월드컵경기장,126.899077,37.569439
141,2622,마포구청,126.903326,37.563535
142,2623,망원,126.910129,37.556031
143,2625,상수,126.92292,37.547704
144,2626,광흥창,126.931971,37.547464
145,2627,대흥,126.942214,37.547732
146,2629,효창공원앞,126.961348,37.539279
147,2631,녹사평,126.98665,37.53469
148,2632,이태원,126.994369,37.534485
149,2633,한강진,127.001729,37.53956
150,2634,버티고개,127.006948,37.547933
151,2639,창신,127.015246,37.579772
152,2640,보문,127.019377,37.585293
153,2641,안암,127.02903,37.586261
154,2642,고려대,127.03626,37.59034
155,2643,월곡,127.041492,37.60192
156,2644,상월곡,127.048509,37.606392
157,2645,돌곶이,127.056419,37.610522
158,2646,석계,127.065922,37.614937
159,2647,태릉입구,127.074741,37.617319
160,2648,화랑대,127.084106,37.619875
161,2615,봉화산,127.091375,37.617293
162,2713,수락산,127.055314,37.677804
163,2714,마들,127.057701,37.664985
164,2716,중계,127.064084,37.645052
165,2717,하계,127.067999,37.636363
166,2718,공릉,127.072969,37.625642
167,2720,먹골,127.077719,37.610638
168,2721,중화,127.079254,37.602604
169,2722,상봉,127.085708,37.595673
170,2723,면목,127.087503,37.588671
171,2724,사가정,127.088502,37.580912
172,2725,용마산,127.086802,37.573752
173,2726,중곡,127.084291,37.565877
174,2728,어린이대공원,127.07465,37.547962
175,2731,청담,127.051851,37.519097
176,2732,강남구청,127.04122,37.517185
177,2733,학동,127.031738,37.514262
178,2734,논현,127.021385,37.511108
179,2735,반포,127.011717,37.508171
180,2737,내방,126.993541,37.48764
181,2739,남성,126.971108,37.484688
182,2740,숭실대입구,126.953649,37.496258
183,2741,상도,126.947949,37.50279
184,2742,장승배기,126.939025,37.504845
185,2743,신대방삼거리,126.928218,37.499717
186,2744,보라매,126.920112,37.499916
187,2745,신풍,126.909806,37.500107
188,2747,남구로,126.887372,37.486181
189,2748,가산디지털단지,126.882704,37.480376
190,2751,천왕,126.838684,37.486699
191,2752,온수,126.823294,37.492059
192,2811,암사,127.127521,37.550127
193,2813,강동구청,127.120461,37.530348
194,2814,몽촌토성,127.11274,37.517692
195,2816,석촌,127.106995,37.505396
196,2817,송파,127.11212,37.49978
197,2819,문정,127.122473,37.485931
198,2820,장지,127.126229,37.478609
199,2821,복정,127.126746,37.471016
200,926,언주역,127.033905,37.507324
201,927,선정릉역,127.043902,37.510278
202,928,삼성중앙역,127.053334,37.51306
203,929,봉은사역,127.060257,37.514258
204,930,종합운동장역,127.076313,37.511433
205,931,삼전역,127.08804,37.504356
206,932,석촌고분역,127.096961,37.502453
207,933,석촌역,127.106682,37.504929
208,934,송파나루역,127.112231,37.510303
209,935,한성백제역,127.116168,37.516311
210,936,올림픽공원역,127.130282,37.516132
211,937,둔촌오륜역,127.138706,37.519395
212,938,중앙보훈병원역,127.148376,37.528321
