clust,법정동코드,읍면동주소
0,1111010100,청운동
3,10200,신교동
6,10800,통인동
3,10900,누상동
3,11000,누하동
3,11100,옥인동
6,11200,제부동
3,11300,필운동
0,11500,사직동
0,11800,내수동
6,12200,청진동
6,12400,수송동
2,12800,관훈동
5,13000,와룡동
3,13300,익선동
6,13700,낙원동
5,13800,종로2가
3,14000,삼청동
10,14600,가회동
3,14800,계동
3,14900,원서동
2,15300,돈의동
7,15900,원남동
2,16400,종로6가
3,16500,이화동
3,16600,연건동
3,16700,충신동
9,16800,동숭동
3,16900,혜화동
9,17000,명륜1가
9,17100,명륜2가
3,17200,명륜4각
9,17300,명륜3가
9,17400,창신동
4,17500,숭인동
3,18100,행촌동
1,18200,구기동
8,18300,평창동
0,18400,부암동
3,18500,홍지동
3,18600,신영동
1,18700,무악동
7,1114010300,태평로1가
2,10400,을지로1가
2,10500,을지로2가
2,11200,남창동
2,11400,태평로2가
6,11800,남대문로5가
3,12100,회현동1가
0,12200,회현동2가
6,12600,명동1가
6,12700,명동2가
7,12900,남산동2가
3,13200,충무로4가
0,13300,충무로5가
3,13600,묵정동
3,13800,필동2가
9,13900,필동3가
3,14200,예장동
3,14300,장충동1가
9,14400,장충동2가
7,14500,광희동1가
3,14600,광희동2가
7,14700,쌍림동
7,14800,을지로6가
7,15400,오장동
4,16200,신당동
3,16300,흥인동
4,16500,황학동
9,16700,정동
6,16900,의주로1가
3,17100,중림동
4,1117010100,후암동
9,10200,용산동2가
3,10400,갈월동
7,10500,남영동
3,10700,동자동
3,10800,서계동
4,10900,청파동1가
9,11000,청파동2가
3,11100,청파동3가
0,11200,원효로1가
3,11300,원효로2가
3,11400,신창동
0,11500,산천동
3,11700,원효로3가
0,11800,원효로4가
1,11900,효창동
0,12000,도원동
3,12100,용문동
0,12200,문배동
0,12300,신계동
0,12400,한강로1가
0,12500,한강로2가
0,12700,용산동5가
0,12800,한강로3가
8,12900,이촌동
9,13000,이태원동
8,13100,한남동
4,13200,동빙고동
0,13300,서빙고동
9,13600,보광동
0,1120010300,상왕십리동
1,10200,하왕십리동
3,10300,홍익동
3,10400,도선동
4,10500,마장동
9,10600,사귿ㄴ동
1,10700,행당동
1,10800,응봉동
1,10900,금호동1가
1,11000,금호동2가
1,11100,금호동3가
1,11200,금호동4가
8,11300,옥수동
1,11400,성수동1가
4,11500,성수동2가
4,11800,송정동
9,12200,용답동
4,1121510100,중곡동
4,10200,능동
4,10300,구의동
8,10400,광장동
4,10500,자양동
9,10700,화양동
4,10900,군자동
3,1123010100,신설동
4,10200,용두동
9,10300,제기동
4,10400,전농동
4,10500,답십리동
4,10600,장안동
9,10700,청량리동
9,10800,회기동
4,10900,휘경동
9,11100,이문동
4,1126010100,면목동
4,10200,상왕십리동
4,10300,상봉동
4,10400,중화동
4,10500,묵동
4,10600,망우동
4,1129010100,신내동
8,10200,성북동
3,10300,성북동1가
1,10400,돈암동
3,10700,동소문동1가
3,10800,동소문동4가
3,10900,동소문동5가
3,11100,동소문동6가
3,11200,삼선동1가
4,11300,삼선동2가
3,11400,삼선동3가
3,11500,삼선동4가
9,11600,삼선동5가
3,11700,동선동1가
9,11800,동선동2가
3,11900,동선동3가
3,12000,동선동4가
3,12100,동선동5가
3,12200,안암동1가
3,12300,안암동2가
3,12400,안암동3가
9,12500,안암동4가
3,12600,안암동5가
3,12700,보문동5가
3,12800,보문동6가
3,12900,보문동7가
7,13000,보문동1가
3,13100,보문동2가
0,13200,보문동3가
4,13300,정릉동
1,13400,길음동
4,13500,종암동
4,13600,하월곡동
4,13700,상월곡동
4,13800,장위동
4,13900,석관동
4,1130510100,미아동
4,10200,번동
4,10300,수유동
4,10400,우이동
4,10500,쌍문동
4,10600,방학동
4,100700,창동
4,10800,도봉동
4,1135010200,월계동
4,10300,공릉동
1,10400,하계동
4,10500,상계동
1,10600,중계동
4,1138010100,수색동
4,10200,녹번동
4,10300,불광동
4,10400,갈현동
4,10500,구산동
4,10600,대조동
4,10700,응암동
4,10800,역촌동
4,10900,신사동
4,11000,증산동
1,11400,진관동
3,1141010100,충정로2가
3,10200,충정로3가
0,10500,냉천동
3,10600,천연동
0,10900,현저동
9,11000,북아현동
4,11100,홍제동
9,11200,대현동
3,11300,대신동
7,11400,신촌동
9,11600,창천동
4,11700,연희동
4,11800,홍은동
4,11900,북가좌동
1,12000,남가좌동
1,11440101011,아현동
1,10200,공덕동
1,10300,신공덕동
1,10400,도화동
0,10500,용강동
0,10700,마포동
1,10800,대흥동
1,10900,염리동
9,11000,노고산동
1,11100,신수동
0,11200,한석동
1,11400,창천동
1,11500,상수동
3,11800,당인동
4,12000,서교동
3,12100,동교동
4,12200,합정동
4,12300,망원동
4,12400,연남동
4,12500,성산동
1,12600,중동
1,12700,상암동
1,1147010100,신정동
8,10200,목동
4,10300,신월동
1,1150010100,염창동
4,10200,등촌동
4,10300,화곡동
4,10400,가양동
1,10500,마곡동
1,10600,내발산동
7,10700,외발산동
4,10800,공항동
4,10900,방화동
3,11000,개화동
5,11300,오쇠동
1,1153010100,신도림동
4,10200,구로동
9,10300,가리봉동
4,10600,고척동
4,10700,개봉동
4,10800,오류동
4,10900,궁동
4,11000,온수동
4,11000,천왕동
1,11200,항동
4,11545210100,가산동
4,10200,독산동
4,10300,시흥동
4,1156010100,영등포동
3,10200,영등포동1가
3,10300,영등포동2가
3,10400,영등포동3가
3,10500,영등포동4가
3,10600,영등포동5가
3,10700,영등포동6가
0,10800,영등포동7가
0,10900,영등포동8가
8,11000,여의도동
3,11100,당산동1가
0,11200,당산동2가
1,11300,당산동3가
1,11400,당산동4가
1,11500,당산동5가
3,11600,당산동6가
0,11700,당산동
9,11800,도림동
6,12000,문래동2가
1,12100,문래동3가
0,12200,문래동4가
0,12300,문래동5가
1,12400,문래동6가
3,12500,양평동1가
0,12600,양평동2가
1,12700,양평동3가
4,12800,양평동4가
0,12900,양평동5가
0,13000,양평동6가
4,13200,신길동
9,13300,대림동
4,1159010100,노량진동
4,10200,상도동
4,10300,상도1동
1,10400,본동
1,10500,흑석동
0,10600,동작동
4,10700,사당동
1,10800,대방동
4,10900,신대방동
4,1162010100,봉천동
4,10200,신림동
4,10300,남현동
8,1165010100,방배동
1,10200,양재동
1,10300,우면동
8,10600,잠원동
8,10700,반포동
8,10800,서초동
0,10900,내곡동
3,11000,염곡동
0,11100,신원동
8,1168010100,역삼동
1,10300,개포동
8,10400,청담동
8,10500,삼성동
8,10600,대치동
1,10700,신사동
1,10800,논현동
8,11000,압구정동
1,11100,세곡동
1,11200,자곡동
0,11300,율현동
8,11400,일원동
1,11500,수서동
8,11800,도곡동
8,1171010100,잠실동
8,10200,신천동
4,10300,풍납동
1,10400,송파동
4,10500,석촌동
4,10600,삼전동
1,10700,가락동
1,10800,문정동
1,10900,장지동
1,11000,방이동
1,11200,오금동
4,11300,거여동
4,11400,마천동
1,1174010100,명일동
1,10200,고덕동
1,10300,상일동
4,10500,길동
1,10600,둔촌동
4,10700,암사동
4,10800,성내동
4,10900,천호동
1,11000,강일동
